Job Title,Company,Experience,Salary,Location,Description,Skills
Production Manager/Deputy Manager(Wire Breaks),RBS Consultancy Services,8-13 Yrs,7-8.5 Lacs PA,"Bhiwadi, Rajasthan",Urgent Requirement for Production Manager/Deputy Manager (Wire Breaks) Location -Bhiwad...,"Production Manager, Planning, Management, Production planning, Production, Wire, Production management, Extrusion"
"Civil Engineer, warehouse, cold chain industry, Kolkata, Bhubaneswar",Crpl Infra,2-7 Yrs,2.5-4 Lacs PA,"Bhubaneswar, Odisha, Kolkata, West Bengal","project construction, green field project, supervision of civil work, construction, mai...","Site Management, Civil Construction, Site Execution, Building Construction, Civil Supervision, Warehouse, Site, Construction"
Document Controller Executive,Manycon Trading Adn Contracting Wll,1-3 Yrs,1.25-2.25 Lacs PA,Remote,"This involves analyzing project requirements, specifications, and drawings to accuratel...","AutoCAD, Documents, Documentation, Control, Boq Preparation, Document control, Estimation, Bom preparation"
Estimation/ Proposal Engineer - Water & Waste Water Treatment,SS Consultancy,3-8 Yrs,4-6 Lacs PA,"Nagpur, Maharashtra","Enriched experience n responsible for basic design n proposal making of WTP (DM Plant),...","WTP, Engineer, Estimation, STP, RO, ERP, Proposal preparation, Waste water"
"AGM Production ( HOD * Machine Shop, Tier 1 US MNC Automotive )",Adonis Recruitment Consultants,15-24 Yrs,15-20 Lacs PA,"Gummidipoondi, Tamil Nadu, Ponneri, Tamil Nadu, Chennai",15+yrs exp into PRODUCTION with AUTOMOTIVE / HIGH PRECISION MACHINING Unit with 3+yrs o...,"production, Machining, Production engineering, Manpower handling, CNC machines, CNC, Grinding, Precision"
Manager - Production * Machine Shop ( Tier 1 US MNC Automotive ),Adonis Recruitment Consultants,10-20 Yrs,10-14 Lacs PA,"Gummidipoondi, Tamil Nadu, Ponneri, Tamil Nadu, Chennai",10+yrs exp into PRODUCTION with AUTOMOTIVE / HIGH PRECISION MACHINING Unit with 3+yrs o...,"production, Plant, Lean, Lean manufacturing, Precision, Manpower, Production management, Plant operations"
Design Associate,Talentco Hr Services Llp,6-7 Yrs,5-6.5 Lacs PA,"Kolkata, West Bengal","5 yrs of experience - Auto CAD, Auto Desk Inventor","AutoCAD, Cryogenics, Pressure Vessels, PVElite, Vessels, Pressure, Coding, ASME"
Production Supervisor For Gear Hobbing For Co. at Faridabad,Unimax,3-5 Yrs,3.5-3.75 Lacs PA,"Faridabad, Haryana",Production Supervisor for Gear Hobbing for Co. at Faridabad ITI/Dip Mech/ B tech 4-5 yr...,"Gear Hoobing, Production of Gear, Hobbing, Machine Shop, Gear Manufacturing supervisor, Gear hobbing, Production, Co"
Civil Engineer-Cabinetry For a US Client,Winfort,2-7 Yrs,Not disclosed,Remote,Shift Timings: US Shift . Education: Diploma / Bachelors/Masters in Civil Engineering ....,"cabinetry, Microsoft, Software, Office, Civil, MS Office, Client, Vision"
Construction Estimator For a US Client,Winfort,2-7 Yrs,Not disclosed,Remote,Shift Timings: US Shift . Education: Diploma / Bachelors/Masters in Civil Engineering ....,"Estimation Engineering, Construction, Estimation, Cost estimation, Bluebeam, Cost, Client, Engineering"
Key Account - Pest Control Field Professional,S. K. Bureau Service,3-5 Yrs,Not disclosed,Saudi Arabia,Inspect buildings and the surrounding environment for signs of pest infestation Determi...,"Pest Control, Customer service, Cost, Estimation, Pest, Accounting, Cost estimation, Control"
Supervisor - Pest Control Field,S. K. Bureau Service,3-5 Yrs,Not disclosed,Saudi Arabia,Train pest control technicians and assist them in their day-to-day tasks. Use your ‘det...,"Pest Control, Management, Control, Field, Supervision, Equipment, Pest, Operations"
BMC Technician (West Bangal),Human Resource Society,2-5 Yrs,2.75-3.5 Lacs PA,Hybrid - West Bengal,"Will be responsible for Maintenance of Bulk milk cooler (BMC), coordination with Inchar...","unit management, Mechanical Maintenance, Electrical Engineering, Management, Technical skills, Coordination skills, Mechanical, UNIT"
Associate Manufacturing,Saudi Basic Industries Corporation (SABIC),3-8 Yrs,Not disclosed,Vadodara,To ensure Manufacturing Operations with safe & defined quality parametersJob Area: Blen...,"Manufacturing Operations, Kaizen, Management, Production, Kaizen implementation, Maintenance management, Manufacturing, Process quality"
Mechanical Engineer/Designer,Capleo Global,1-5 Yrs,Not disclosed,Chennai,Support medium complex engineering drawing and documentation. Incorporate design change...,"Microsoft, 3D, Mechanical engineering, Design engineering, Engineering, Quality tools, Tools, Mechanical"
Shift Supervisor (Machine Shop),SV Management Consultants,3-5 Yrs,Not disclosed,"Gwalior, Madhya Pradesh","Shift scheduling and managementSix Sigma Certified Knowledge of SPC, Six Sigma, Quality...","six sigma, OEE, kaizen, quality systems, cnc programming, SPC, Programming, Machine shop"
Plant Head Production,Echon Group of Industries,15-20 Yrs,40-45 Lacs PA,"Udaipur, Rajasthan","Can manage multiple plants, multiple shifts, multiple locationsHaving good exposure of ...","plant operations, Plant, Interpersonal, Communication skills, Operations, Production, Plant Operation, Interpersonal skills"
Assistant Manager- Power Plant & Utility Electrical Maintenance,TATASTEEL,2-5 Yrs,Not disclosed,Khopoli,Responsible for implementing the Goals and targets for the department in line with the ...,"Coloring, Motors, Rcfa, Breakdown, Plant, Fmea, LT, Preventive"
Assistant Plant Head - Production,Echon Group of Industries,7-12 Yrs,15-20 Lacs PA,"Udaipur, Rajasthan",Technical SkillsLeadership skill managing Plant heads in India and abroad.Should have g...,"Production Management, Management, Control, Control plan, Plant, Operations, Production, Planning"
Jr.Mgr._Sr.Executive_R&D Metal,Rubamin,5-10 Yrs,Not disclosed,Halol,. Job Specification : . Qualification Required: P.hExperience: 05 - 10 years. Competenc...,"PH, ICP, Unit operations, Quality assurance, UV-VIS, PH METER, FTIR, Aa"
Manager Corporate Audit - F&C,TATASTEEL,3-5 Yrs,Not disclosed,"Kolkata, Jamshedpur",To assist respective Group Head in - Providing to the Audit Committee (AC) of Board of ...,"Basis, Equipment modeling, Risk management, Navisworks, Process, Corporate, Risk, Piping layout"
Structural Engineer,Consulting Engineers Group (CEG),12-22 Yrs,Not disclosed,HimachalPradesh,Candidate Must have . M Tech structures. Min 15 years experience after MTech Structures...,"structural engineering, structural design, Design, Structural analysis, Analysis, Engineering"
Workshop Incharge,Ferrous Engineering,3-7 Yrs,3.75-4.5 Lacs PA,"Chandrapur, Maharashtra",A Degree / Diploma In Mechanical field or equivalent is often the minimum educational r...,"Fabrication, Machine Shop, Workshop Management, Heavy Equipment, Welding Engineering, Breakdown, Engineering, Equipment"
production supervisor Injection molding,Career Solutions,1-4 Yrs,2-3 Lacs PA,"New Delhi, Sonipat/ Sonepat, Haryana, Delhi / NCR",Supervise and provide technical guidance to the production team Work with Assembly depa...,"Production Planning, Production, Plastic, Engineering, Injection moulding, Planning, Production supervising, Manpower handling"
"Engineer (Civil, Mechanical, Electrical) - Rajasthan",Sagarika House,0-5 Yrs,2-7 Lacs PA,"Udaipur, Jaipur, Jodhpur","Production, Quality Control, Maintenance, sales & marketing, R&D, Design, Civil, Mechan...","engineer, R, M, Supervision, Management, Sales, Automation, PPC"
Welder Fitter Turner For Auto Industry,Vision Esteem,0-5 Yrs,1.25-2 Lacs PA,"Mohali/SAS Nagar, Chandigarh",Urgent requirement of ITI Welders Fetters and Turners for leading industry Company : Au...,"Turning, Auto Industry, Auto, Welding, Fitness, welder, fitter"
Project Manager,Head Hunterz Manpower Services,12-15 Yrs,12-15 Lacs PA,Hyderabad/Secunderabad,To head the engineering & projects in hotel industry. He should have the experience in ...,"Project Management, Electrical Engineering, Reporting, Construction, Site, Civil, Management reporting, Electrical maintenance"
Draughtsman-Mechanical,Asawa Insulation,1-3 Yrs,1-2.75 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Khopoli","After receiving layout drawing from client, study, tagging & dimensions as per duct siz...","Autocad Drafting, Draftsman activities, Drawing, Drafting, Design, AutoCAD, Draw, AutoCAD Drawing"
Chief Engineer,Head Hunterz Manpower Services,12-15 Yrs,10-12 Lacs PA,Hyderabad/Secunderabad,HEAD THE ENGINEERING AND MAINTENANCE DEPARTMENT IN 5 STAR HOTEL/RESORTS,"Electrical Maintenance, Corrective maintenance, Breakdown maintenance, Preventive, Preventive maintenance, Engineering projects, Electrical engineering, Engineering"
SE/AE/JE - Civil,Ncc Urban Infrastructure Limited,3-8 Yrs,Not disclosed,"Sangareddy, Telangana, Hyderabad/Secunderabad, Sadasivpet, Telangana",1.Candidate must have experience in construction of Buildings.2.Candidate must have Civ...,"Building Construction, Engineering, Building, Finishing, Site, Shuttering, Civil engineering, Structural engineering"
Instrumentation Technician,Sparkle Services,1-3 Yrs,1-2.25 Lacs PA,Hyderabad/Secunderabad,"Breakdown/Preventive Maintenance Fermenters, Autoclaves, DHS, Vial Washing/ Filling Mac...","Instrumentation, PLC, Instruments"
Sr. and Jr. civil site engineer,Asrithas Group,5-7 Yrs,2.25-4.5 Lacs PA,"Hyderabad/ Secunderabad, Telangana",Looking for civil site engineers for high rised gated community projects at patancheru ...,"Civil engineering, Site, Civil, Execution, Civil Site Engineering, SR, Site engineering"
Site Engineer,Orbitouch Outsourcing,2-5 Yrs,"50,000-2 Lacs PA","Hyderabad/ Secunderabad, Telangana","Understand the scope of the work, provided at the site. site to superiors, the work pro...","Site Engineer, Management, Construction, Site, Site engineering, Building, Site execution, Civil Project"
Physical Design Engineer,Hyse Placement Services,4-7 Yrs,4-9 Lacs PA,Hyderabad/Secunderabad,Experience on : ASIC Physical Design Entire Physical design process from floorplan till...,"Pearl, PNR, Tcl Scripting, ICC, ASIC Design, Scripting, Python, Gd"
Production Supervisor,Talent Corner HR Services Pvt Ltd,2-7 Yrs,1-2.75 Lacs PA,Hyderabad/Secunderabad,"overseeing the production processes, facility management, team coordination, maintenanc...","Supervision, Production supervising, Production"
Store Supervisor,Talent Corner HR Services Pvt Ltd,2-7 Yrs,1-2.25 Lacs PA,Hyderabad/Secunderabad,"Oversee day-to-day operations of the store, including inventory management, stock reple...","Stock replenishment, Store supervision, Stock, Stores, Supervision, Control, Management, Inventory"
Hiring 'Environmental compliance lead' at Hyderabad,Talent Partner,7-12 Yrs,12-15 Lacs PA,Hyderabad/Secunderabad,Handling team(s) to drive Env. Compliance program Demonstrated ability working on env c...,"Environmental Compliance, Compliance, ROHS, Environment, Hiring, reach"
ITI/Diploma-Electrical/Mechanical/Fitter/ -19 post,Indore Job Placement,1-2 Yrs,1.25-2.25 Lacs PA,Indore,"Diploma/ITI-Electrical/Fitter/Welder/Turner/Diesel Mechanic Good knowledge of Wiring, t...","ITI, Fitness, Mechanical, Post, Communication skills, Communication"
Civil Supervisor,Chokhi Dhani Group,4-5 Yrs,3-4.5 Lacs PA,"Jaipur, Rajasthan",Supervise the civil work.,"Civil Supervision, Civil Works, Civil Projects, Supervision, Civil"
Production and Quality Engineer,Bhartiya Enterprises,1-2 Yrs,1.5-2.25 Lacs PA,"Thane, Maharashtra, Bhiwandi, Maharashtra",He must have capability to get work done from Vendor on time with proper QCWe are looki...,"vendor management, QC, AutoCAD, Product Design, Vendor Development, Production engineering, Manpower handling, Design"
Electronic Technician,Delhi Overseas,2-5 Yrs,3-4 Lacs PA,Saudi Arabia,10th or Graduate in electronics industry 1-3 years of recent SMT technician/operator ex...,"Electronic Technician, technician, SMT manufacturing equipment for the assembly of electronic devices, SMT technician/operator experience, Electronics technician electronics manufacturer Must, Operating, Devices, SMT"
Production Planning and Control Engineer,Asawa Insulation,2-5 Yrs,Not disclosed,Khopoli,Monitoring production activities in comparison with the production plan & prepare neces...,"Production Planning, Planning, Control, Control plan, Control Engineering, Production, Production planning control"
Civil Engineer,Chokhi Dhani Group,10-15 Yrs,4-7 Lacs PA,"Jaipur, Rajasthan",minimum 10 years of experience in Civil Engineering. Expert in doing the all civil works.,"Civil Engineering, Engineering, Civil"
Sr Engineer - SMT Production ( Electronics Auto/ ADS MNC) 10L CTC,Adonis Recruitment Consultants,5-10 Yrs,8-10 Lacs PA,"Sriperumbudur, Chennai, Vallam Oragadam","Lead SMT ASSEMBLY OPERATION focusing on PRODUCTION TARGET, KITTING, SOLDER PASTE PRINTI...","Surface Mount Technology, production, electronis, ads, SMT, SR, Reflow, Process"
"Operator Refrigeration, chilling, RAC",Login Consultancy.com,2-3 Yrs,Not disclosed,Jabalpur,"Position Name : - Operator Refrigeration, chilling, RAC ( Reverse air conditioner ) Rol...","Air Conditioning, Refrigeration, Beverage, Operating, RAC, Maintenance, FMCG"
JMC Production - Operator,Gurit Wind,1-4 Yrs,Not disclosed,"Oragadam/ Oragaram, Tamil Nadu, Chennai",Achieve production requirements in line with our Operational Priorities of Safety First...,"Machine Operating, Production, Documentation, Quality Assurance, Assurance, 5S System, Operating, Quality"
Boiler Operator - ITI,Login Consultancy.com,2-3 Yrs,2-3 Lacs PA,Jabalpur,2 years experience in any beverages plant or in FMCG Qualification: - 10th + ITI Boiler...,"Boiler Operations, Beverage, FMCG Operations, Boiler Maintenance, Maintenance, Operating, Boiler, Operations"
ITI Electrician Operator,Login Consultancy.com,2-3 Yrs,2-3 Lacs PA,Jabalpur,2 years experience in any beverages plant or in FMCG. Note: - ITI wireman License manda...,"Electrical Maintenance, FMCG Operations, ITI, Operations, Electricals, Operating, Maintenance"
Civil structural engineer MNC steel,Excel Hr Consultants,2-3 Yrs,8-9 Lacs PA,"New Delhi, Delhi",he shall assist the structural designing team for various civil structures tubular stru...,"Structural engineering, Civil, Civil engineering, Steel, civil structural desiging"
Operations head Food Products Delhi MNC,Excel Hr Consultants,20-25 Yrs,1-1.25 Cr PA,Delhi / NCR,A peoples man with all functional heads reporting to him expats preferred from potato p...,"Leadership, Negotiator, Marketing, Commercial Acumen, Writing, Problem solving, Strategist, Commercial"
Billing Engineer(Jal Jeevan Mission)- Kasganj,VVIP Group,4-8 Yrs,3-6 Lacs PA,Kasganj,"Quality Estimate & Billing, Planning of Projects, Physical and financial progress.Check...","Sub Contractor Billing, Bar Bending Schedule, Contractors, Bbs, Bar, Bending, Subcontractors, Schedule"
Shift Incharge,Utkarsh Placement,7-10 Yrs,8-9 Lacs PA,"Dahej, Gujarat",Production Management Manpower Handling Project Management Shift Planning Daily Product...,Production
Draughtsman,Kantaflex,2-5 Yrs,2.25-4.5 Lacs PA,Chennai,"Product Drawing ( Bridge Bearings, Expansion Joints) Drawing Preparation 2D Drawing & 3...","Draftsman Activities, Knowledge engineering Drawing, 3D Modeling, AutoCAD Drawing, Engineering, AutoCAD, 3D, 3D Model"
Dcs Operator,Delhi Overseas,2-7 Yrs,Not disclosed,Saudi Arabia,One of the leading Chemical factory in Saudi Arabia is looking for DCS Operator.,"Chemical, DCS, DCS Operation, Dc, Operations, Operating"
Weapon Assembly Supervisor,Delhi Overseas,3-8 Yrs,Not disclosed,Qatar,One of the leading Weapon company in Qatar is looking for Weapon Assembly Supervisor. I...,"Weapon Assembly, Assembly"
PET Foam Process Extrusion specialist,Gurit Wind,5-10 Yrs,7-10 Lacs PA,Oragadam/Oragaram,Development of PET Processes and Technology and day to day support to the local site. d...,"R&D, Process Engineering, Extrusion, R And D, R, Pet, Foam, Process"
Machine Operator (Manufacture Labor),Delhi Overseas,3-8 Yrs,4.75-7.5 Lacs PA,Saudi Arabia,"minimum Exp should be 3 yearsExperience in Rolling of R.O Membranes, .should be his exp...","Machine Operator labour, Labor, Machine operating, Labour, Rolling, Operating, RO, Operations"
Electrician,Chokhi Dhani Group,1-2 Yrs,1-2 Lacs PA,"Indore, Madhya Pradesh","Responsible for installing, repairing, and maintaining electrical systems. specializing...","Electrical Installation, Ducting, lift, Ac Installation, Electrical works, Electrical maintenance, Installation, Maintenance"
Billing Engineer-Hotel,Chelsea Mills,8-10 Yrs,Not disclosed,"Kasauli, Gurgaon/Gurugram(Udyog Vihar)","Should have wide experience in cost estimation, budgets, qualification of bidders/ tend...","Estimation Engineering, Estimation, Billing Engineering, Planning engineering, Scheduling, Engineering, Project control, Survey"
Cost Manager,360 Interior Designs (india),10-20 Yrs,Not disclosed,"New Delhi, Delhi(Sultanpur)",• Obtain material pricing and organize all the information necessary to create and subm...,"Cost Management, Management, Construction management, Analytical, Time management, Time Managements, Construction, Analytics"
Product Design Engineer,HDI Outsourcing Services,4-7 Yrs,3-4 Lacs PA,"Faridabad, Delhi / NCR","Experience on multi cavity plastic mould design, die-casting die Design as per requirem...","UG NX 5, Surface Design, Solid Works, NX, Surface, Design, Product design, UG"
Site Supervisor,Login Consultancy.com,2-3 Yrs,3-3.5 Lacs PA,Jabalpur,"Construction Company : Onroll - 10 (Male) , : 2- 3 civil work Experience candidate need...","High Rise Building, Site Execution, Site Engineering, Site, Execution, Building, High Rise, Site supervision"
Civil Engineer,Login Consultancy.com,3-5 Yrs,3.5-6 Lacs PA,Jabalpur,": Construction Company : Onroll - 05 (Male) , : 3- 5 civil work Experienced candidate n...","High Rise Building, Civil Engineering, Construction Engineering, Construction, High Rise, Civil, Engineering, Building"
Tool & Die Maker,Elkayem Auto Ancillaries,1-6 Yrs,Not disclosed,Hosur,"Press tools, jigs and fixtures maintenance, Check list for all machines-Dailly preventi...","MTTR, MTBF, TQM, Breakdown Analysis, Preventive Maintenance, Total productive maintenance, Die making, Problem analysis"
Manufacturing Engineering - Head ME Assembly & Fabrication,Z Jobs,18-28 Yrs,Not disclosed,"Indore, Madhya Pradesh, Pithampur, Madhya Pradesh",Lead manufacturing engineering for the plant developing and implementing processes and ...,"manufacturing engineering, ISO, Lean, HSE, Assembly, PPAP, Regulations, Iatf"
"Manager - Production , Male , Korean Auto MNC, Sriperumpudur",JO Global Search Ventures,10-15 Yrs,7-8 Lacs PA,"Sriperumbudur, Tamil Nadu",The job involves heading Production functions of auto-component CO with expertise in Pr...,"Production Operations, Management, Manufacturing operations, Operations, Auto, Production, Manufacturing Operation, Manufacturing"
Maintenance Head ( Only Fastener Industry),HDI Outsourcing Services,10-15 Yrs,6-8.5 Lacs PA,"Faridabad, Haryana","Should have good knowledge of Mechanical machine maintenance of Lathe,","Mechanical Maintenance, Preventive, Mechanical, Maintenance, Preventive maintenance"
merchamdiser,HDI Outsourcing Services,2-5 Yrs,3.5-4 Lacs PA,Delhi / NCR(Okhla),"Manufacturer and Exporter of Handicrafts, Kitchenware, Furniture and Home Dcor and have...","Handicrafts, Furniture, Home Decor"
Required Planning Engineer,Delhi Overseas,5-6 Yrs,Not disclosed,Saudi Arabia,Qualification - B-Tech Civil Engineering degree. Minimum 5-6 years Experience SP-PMI al...,"Planning Engineering, Planning, Engineering"
Required Project Manager,Delhi Overseas,10-12 Yrs,Not disclosed,Saudi Arabia,Qualification - B-Tech Civil Engineering degree. Minimum 10-12 years experience PMP Cer...,"Project Management, Project, Management"
GM Manufacturing Operations,JSD Electronics,8-13 Yrs,8-12 Lacs PA,Noida(Sector-67 Noida),actively involved in production Should have handled plant in the capacity of Profit cen...,"Production Planning, Factory, People management, Manpower handling, Daily production planning, Manufacturing Operation, Production, Operations"
Assistant Engineer,Aarons Visions,7-12 Yrs,35-85 Lacs PA,"Hybrid - Australia, Singapore, Canada",Engineering / Higher Education in Transportation / Road Engineering years of road desig...,"Maintenance, Manufacturing, Project engineering management, Repair, Project, Assistance, Production, Coordination"
Assistant Engineer,Aarons Visions,7-12 Yrs,35-85 Lacs PA,"Hybrid - Australia, Singapore, Canada",Engineering / Higher Education in Transportation / Road Engineering years of road desig...,"Maintenance, Manufacturing, Project engineering management, Repair, Project, Assistance, Production, Coordination"
Plant Manager ( Industrial Chemicals ),The Right Links Management Consultants,15-20 Yrs,Not disclosed,"Madurai, Tamil Nadu","Responsible for entire Production process Viz: Manufacturing, Quality, Maintenance , Sa...","INDUSTRIAL CHEMICALS, CHEMICALS, FACTORY MANAGER, PLANT MANAGER, PRODUCTION MANAGER, Management, Factory management, Chemical"
SAP CO Consultants,Feham Hr Solutions,8-13 Yrs,15-30 Lacs PA,"Noida, New Delhi, Delhi / NCR","Min 5 yrs of Exp in CO - Configure CO, including COPA and Product Costing S4 Hana exp i...","Product Costing, SAP CO, s4 hana, Copa, Consulting, SAP S Hana, Costing, Co"
Electronics Engineer R&D,HDI Outsourcing Services,10-15 Yrs,10-12 Lacs PA,Faridabad,Electronics Engineer R&D (BLDC Ceiling Fan Controller Card ) Basic knowledge of Power E...,"Bldc Motor, R, Control, Electronics, Motors, Electronics engineering, Fan, Cards"
Production Engineer,Kantaflex,1-3 Yrs,1.25-2.5 Lacs PA,Chennai,Ensuring shift production. Achieving shift production targets. Support to contractor to...,"Hindi Speaking, Production, Floor management, Production engineering, Manpower handling, Manpower, Hindi, Flooring"
Production Manager (RMCPlant),Antritech,5-10 Yrs,5-7.5 Lacs PA,Delhi / NCR(Badarpur +2),"RMC Production Control as per define system/policy of company, maintenance plant & Manp...","RMC Production Control as per define system/policy of company, Stock Control & Reporting., maintenance plant & Manpower, Production, Plant, RCC, Reporting, System"
"Plant Chemist at Ankleshwar, Gujrat",G. K. Associates,2-4 Yrs,2-3 Lacs PA,"Ankleshwar, Surat","Knowledge of Polymer Production processes.Chemical testing, Packing Note Preparation In...","Test analysis, Software testing, Plant, Analysis, Process"
general construction supervisor,Aarons Visions,7-12 Yrs,35-85 Lacs PA,"Hybrid - Australia, Singapore, Canada",Coordinating and planning activities Coordinating work activities with other project le...,"Civil Project Management, Construction Management, Construction, Infrastructure, Civil, Site, Site execution, Civil Project"
Mechanical Engineering Technician,Aarons Visions,7-12 Yrs,35-85 Lacs PA,"Hybrid - Australia, Singapore, Canada","Assistance in Machinery and Structural Inspection Assistance in Preparation of Designs,...","Customer Service, Information Technology, Technical, Access, Business Finance, Asset management, Access control, Technical analysis"
Hiring Vacuum Paint Technician For Saudi Arabia,Delhi Overseas,3-8 Yrs,Not disclosed,Saudi Arabia,"Indian Nationality. - Diploma Vacuum Paint Technician. - Experience in UV, vacuum paint...","Vacuum, Paint Shop, Painting, Hiring"
Hiring Injection Mold Maintenance Technician For Saudi Arabia,Delhi Overseas,3-8 Yrs,Not disclosed,Saudi Arabia,Indian Nationality. -Technical or industrial qualification in the field of maintenance ...,"Plant Maintenance, Maintenance Department, Machinery, Mould Maintenance, Machine, Plant, Hiring, Moulds"
Hiring Plastic Injection Machine Operator For Saudi Arabia,Delhi Overseas,3-8 Yrs,Not disclosed,Saudi Arabia,Indian Nationality. - Qualification appropriate technical or industrial in operating in...,"Machine Operating, Hiring, Machine, Operating, Plastic, Injection"
Hiring Factory Production Manager For Saudi Arabia,Delhi Overseas,5-10 Yrs,Not disclosed,Saudi Arabia,Indian Nationality -Plastic Eng. - Experience (5) years in Production Plastic,"Factory Management, Maintenance, Production, Factory, Management, Hiring"
Hiring Plastic Factory Manager For Saudi Arabia,Delhi Overseas,6-10 Yrs,Not disclosed,Saudi Arabia,Indian Nationality - Mechanical Eng. - Experience (6) years in Administration Factures....,"Factory Management, Maintenance, Hiring, Management, Plastic, Factory"
"Instrumentation Engineer(Only apply- Diploma, 12th, ITI)",Xperts Global Consulting,1-6 Yrs,2.5-3.75 Lacs PA,"Sonipat/ Sonepat, Haryana","instrument maintenance knowledge like boiler, chilling plant, and air compressor Experi...","Instrumentation Engineer, Instrumentation, Instrumentation Maintenance, Maintenance, Instruments, Application, Instrumentation engineering, ITI"
CEO-VP-Pharma-Speciality Chemicals-North India,K 3 Vision Placement,20-25 Yrs,80 Lacs-1 Cr PA,"Rajpura, Delhi / NCR","A HIGH PROFILE CHEMICAL ENGINEER, M.TECH-PHARMA WITH 20 TO25 YEARS OF EXP IN A LARGE CH...","GOOD MOTIVATOR, HIGH PROFILE PERSON, RESULT ORIENTED"
Instrumentation Technician,Dev Salt,4-8 Yrs,2.5-3.5 Lacs PA,Maliya,Maintenance and upkeeping of various instruments and equipments under the control of in...,"Preventive Maintenance, Instrumentation, Process Control, Process, Control, Preventive, Instruments, Maintenance"
Expeditor Fabrication Manufacturing,Turning Point Consultants,4-6 Yrs,7-8 Lacs PA,PENNYA,BE MECH 4+yrs in fabrication for equipments structures & piping understand General Arra...,"4+yrs in fabrication for equipments structures & piping understand General Arrangement Drawings of equipment structures & piping isometric drawings, knowledge on raw material grades & specifications, new Vendor Development, Expediting of fabrication job, Materials, General, Draw, Fabrication"
Technician - Tool Room ( Sheet Metal / Precision Parts) US MNC- 4LPA,Adonis Recruitment Consultants,3-8 Yrs,3-4 Lacs PA,"Chennai, Sriperumbudur, Irrungattukottai","Manage TOOLS & SPARES Dept focusing on TOOLS & SPARES STOCK MAINT, NEW PRODUCT TOOLING,...","Tool Room, Vendor Development, Metal, Press tools, Tool making, Precision, Development, Sheet metal"
Civil Project Engineer ( Water Supply Project),Benchmark Global Management Services,2-7 Yrs,3.25-4.5 Lacs PA,"Medinipur, Burdwan/Barddhaman, Bankura",Experience: minimum 2 to 5 Years in Water Supply Pipeline Project Skills: knowledge & E...,"Site Execution, Water Supply, Pipeline Construction, Execution, Management, Water, Pipeline management, Civil"
Team Leader - workshop,Delhi Overseas,6-11 Yrs,8-14 Lacs PA,Qatar,Knowledge & Technical Known How to Manage workshop team Guiding team Member & Ensure hi...,"Automobile Service, Workshop Management, Team Leadership, Engine Maintenance, Team Leader - workshop, Engine, Team handling, Automobile"
Auto Electrician+ Auto Ac,Delhi Overseas,5-10 Yrs,Not disclosed,Qatar,"for Mercedes, BMW, Audi & other luxury Brand Only. he should have Familiar with advance...","Auto Electrician, Automobile, AUDI, BMW, advanced Diagnosing, Coding, Luxury, Vehicle"
General Manager (Location- Rampur),Vibhor Vaibhav Infra Pvt Ltd,12-15 Yrs,Not disclosed,"Rampur, Uttar Pradesh","Finalized & Arrangement Civil Vendor, E & M Vendor For JJM Projects. Procurement of Mat...","Team Management Skills, Project Management, Contractor Handling, Contractors, Client management, Project, General management, Handling"
Unit Head,Yashaswi Group,18-24 Yrs,15-20 Lacs PA,Betul,Profile -UNIT HEAD Qual-Engineer(Chemical) Exp -18+ years(least 5 years senior manageme...,"Planning and Budgeting, Improvement, Ownership, Management, Compliance, Process improvement, Monitoring, Training"
Electrical Engineer,New HOPE KOLKATA ANIMAL FEED PRIVATE LIMITED,1-3 Yrs,1-3.75 Lacs PA,Naihati,TO MAINTAIN ALL ELECTRICAL EQUIPMENTS WHICH IS USED IN PRODUCTION FIELD,"Control Room, Room, Control, Electrical maintenance, Electrical engineering, Engineering, Electricals, Maintenance"
Solution Engineer - Engineering & Commissioning,Aarons Visions,4-9 Yrs,35-85 Lacs PA,"Hybrid - Australia, Singapore, Canada","As project manager for generator excitation and electrical system projects, we play a k...","electric machines, Thermal, Power transmission, Compensation, Quality assurance, Flooring, Quality control, Electrical machines"
Paint Supervisor,KUCHE 7,3-8 Yrs,Not disclosed,Bhiwandi,"Hires, coaches, reviews, supervises, and terminates assigned employees, or makes effect...","maintenance management, Safety Regulations, Paint shop, Procurement, Equipment maintenance, Regulations, Painting, Purchase"
Production Supervisor,Kuche 7,3-6 Yrs,Not disclosed,"Bhiwandi, Maharashtra",Organize workflow by assigning responsibilities and preparing schedules. Supervising th...,"Production Process, Manufacturing Processes, Production planning, Maintenance, Manufacturing, Project coordination, Project, Manufacturing process"
Production Planning Manager,Kuche 7,5-7 Yrs,Not disclosed,"Bhiwandi, Maharashtra",Candidate with 5 to 7 Years of experience in Modular Kitchen or Automobile Industry,"Production Planning, Order processing, Production, Process, Production Drawings, Order fulfillment, Management, Drawing"
Capsule Filling Machine Operator,Utkarsh Placement,5-10 Yrs,Not disclosed,"Daman & Diu, Daman & Diu",Experience on AF90T machine operator,"Capsule Filling, Filling, Machine, Capsules, Operating"
Slitter Operator,HDI Outsourcing Services,2-4 Yrs,1-2.5 Lacs PA,"Noida, Uttar Pradesh",all types lms slitting waste management slitter area commitment environmental protectio...,"Roll Slitting, Micrometer, Operating, Slitting, Caliper"
